state,x,y
Alabama,139,-95
Alaska,-204,-170
Arizona,-200,-60
Arkansas,57,-53
California,-310,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-110
Hawaii,-317,-143
Idaho,-225,110
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-75
Missouri,49,6
Montana,-140,150
Nebraska,-61,66
Nevada,-250,40
New Hampshire,302,127
New Jersey,282,55
New Mexico,-120,-43
New York,236,104
North Carolina,239,-22
North Dakota,-44,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-300,125
Pennsylvania,238,72
Rhode Island,318,80
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-180,34
Vermont,282,154
Virginia,234,12
Washington,-270,180
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90
